INDEXATION CARBURANT Clients 2026;;;;;;;;;;;;;;;;;;;;
;;;;;;Jours;Ouvrables;;26;24;26;25;22;26;26;25;26;27;24;26
;;;;;;;Ouvrés;;21;20;22;21;17;22;22;21;22;22;20;22
;;;;;;;;;;;;;;;;;;;;
CLIENTS;Contrats;Code Facturation;Indice de Référence;Base indice;Pondération;Mode de Facturation IGO;Valeur de Réf.;;janv-26;févr-26;mars-26;avr-26;mai-26;juin-26;juil-26;août-26;sept-26;oct-26;nov-26;déc-26
CAT;IVELI_FRIDF SR1;CAT;174,88;CNR GO PRO M-1;25%;% Pied de facture;;;0,95%;1,83%;2,64%;10,46%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%
CAT;JCBBO_FRIDF;CAT;174,88;CNR GO PRO M-1;25%;% Pied de facture;;;0,95%;1,83%;2,64%;10,46%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%;-25,00%
CEVA LOGISTIC;CEVA GENNEVILLIERS;CEVAGEN;?;;;;;;;;;;;;;;;;;
CEVA LOGISTIC;CEVA MOISSY;CEVAMOI;?;;;;;;;;;;;;;;;;;
CHRONOPOST CHILLY;40U62 - Conforma / MGF;CHCMZ;1,1654;PMM DIREM M-1;0,28;Sur Km;62;;3,003;3,413;3,963;9,670;-20,231;-20,231;-20,231;-20,231;-20,231;-20,231;-20,231;-20,231
CHRONOPOST CHILLY;40U71 - Alloga;CHCMZ;1,6915;PMM DIREM M-1;0,28;Sur Km;129;;-12,75;-11,90;-10,76;1,12;-61,10;-61,10;-61,10;-61,10;-61,10;-61,10;-61,10;-61,10
CHRONOPOST CHILLY;40U72 - Dyson;CHCMZ;1,2187;PMM DIREM M-1;0,28;Sur Km;129;;4,32;5,18;6,32;18,19;-44,02;-44,02;-44,02;-44,02;-44,02;-44,02;-44,02;-44,02
CHRONOPOST CHILLY;40U76 - AMAZON (HNI);CHCMZ;1,376;PMM DIREM M-1;0,28;Sur Km;64;;-0,67;-0,25;0,32;6,21;-24,66;-24,66;-24,66;-24,66;-24,66;-24,66;-24,66;-24,66
CHRONOPOST CHILLY;40U76 - AMAZON (CMZ);CHCMZ;1,376;PMM DIREM M-1;0,28;Sur Km;34;;-0,36;-0,13;0,17;3,30;-13,10;-13,10;-13,10;-13,10;-13,10;-13,10;-13,10;-13,10
CHRONOPOST CHILLY;40U88 (Gaz) - CDISCOUNT CMZ;CHCMZ;1,1431;PMM DIREM M-1;0,28;Sur Km;35;;1,91;2,15;2,46;5,68;-11,20;-11,20;-11,20;-11,20;-11,20;-11,20;-11,20;-11,20
CHRONOPOST CHILLY;40U88 (Gaz) - CDISCOUNT HNI;CHCMZ;1,1431;PMM DIREM M-1;0,28;Sur Km;54;;2,95;3,31;3,79;8,76;-17,28;-17,28;-17,28;-17,28;-17,28;-17,28;-17,28;-17,28
CHRONOPOST CHILLY;40U96;CHCMZ;1,1431;PMM DIREM M-1;0,28;Sur Km;4;;0,22;0,25;0,28;0,65;-1,28;-1,28;-1,28;-1,28;-1,2803;-1,28;-1,28;-1,28
CHRONOPOST HNI;23R03;CHAUL;1,6994;PMM DIREM M-1;0,28;Sur Km;55,6;;-5,620;-5,253;-4,759;0,358;-26,456;-26,456;-26,456;-26,456;-26,456;-26,456;-26,456;-26,456
CHRONOPOST HNI;23R68;CHAUL;1,6908;PMM DIREM M-1;0,3;Sur Km;169,5;;-17,920;-16,719;-15,108;1,607;-85,977;-85,977;-85,977;-85,977;-85,977;-85,977;-85,977;-85,977
CHRONOPOST HNI;23R68;CHAUL;1,6908;PMM DIREM M-1;0,3;Sur Km;56,7;;-5,994;-5,593;-5,054;0,538;-28,761;-28,761;-28,761;-28,761;-28,761;-28,761;-28,761;-28,761
CHRONOPOST HNI;23R67;CHAUL;1,1784;PMM DIREM M-1;0,3;Sur Km;49,4;;2,371;2,721;3,191;8,062;-17,464;-17,464;-17,464;-17,464;-17,464;-17,464;-17,464;-17,464
CHRONOPOST RESEAU;SWAP GAZ;CHRON;0,94;CNR GNV M-1/100;0,29;Sur Km;;;0,1955;0,1903;0,2427;-0,2726;-0,2726;-0,2726;-0,2726;-0,2726;-0,2726;-0,2726;-0,2726;-0,2726
CHRONOPOST RESEAU;SWAP GO;CHRON;0,8318;PMM DIREM M-1;0,29;Sur Km;;;0,1469;0,1538;0,1630;0,2583;-0,2412;-0,2412;-0,2412;-0,2412;-0,2412;-0,2412;-0,2412;-0,2412
CHRONOPOST RESEAU;SPL GAZ;CHRON;0,94;CNR GNV M-1/100;0,26;Sur Km;;;0,1753;0,1706;0,2176;-0,2444;-0,2444;-0,2444;-0,2444;-0,2444;-0,2444;-0,2444;-0,2444;-0,2444
CHRONOPOST RESEAU;VL GO;CHRON;0,8318;PMM DIREM M-1;0,15;Sur Km;;;0,0760;0,0795;0,0843;0,1336;-0,1248;-0,1248;-0,1248;-0,1248;-0,1248;-0,1248;-0,1248;-0,1248
CHRONOPOST RESEAU;SPL GO;CHRON;0,8318;PMM DIREM M-1;0,26;Sur Km;;;0,1317;0,1379;0,1461;0,2316;-0,2163;-0,2163;-0,2163;-0,2163;-0,2163;-0,2163;-0,2163;-0,2163
CHRONOPOST ROISSY;LRCDGORY01;CHROI;1,3384;PMM DIREM M-1;0,26;Sur Km;44;;0,00;0,27;0,63;4,39;-15,31;-15,31;-15,31;-15,31;-15,31;-15,31;-15,31;-15,31
CHRONOPOST ROISSY;LRCDGORY02;CHROI;1,3384;PMM DIREM M-1;0,26;Sur Km;44;;0,00;0,27;0,63;4,39;-15,31;-15,31;-15,31;-15,31;-15,31;-15,31;-15,31;-15,31
COLISSIMO;CTRT 202213366;CSPN;PARC;;;;;;;;;;;;;;;;;
COLISSIMO;GEN202212891SLOT04;CSPN;180,42;CNR GO PRO M-1;13,98%;Variation TK;3,4000;;3,4029;3,4191;3,4340;3,5783;2,9247;2,9247;2,9247;2,9247;2,9247;2,9247;2,9247;2,9247
COLISSIMO;IDFLTHCGENC9595;CSPN;273,99;CNR GO PRO M-1;21,37%;Variation TK;2,5021;;2,3216;2,3336;2,3447;2,4515;1,9674;1,9674;1,9674;1,9674;1,9674;1,9674;1,9674;1,9674
COLISSIMO;IDFN-DOT-00A-CM;CSPN;182,15;CNR GNV M-1;16,84%;Variation TK;2,4130;;2,3668;2,3627;2,4030;2,0067;2,0067;2,0067;2,0067;2,0067;2,0067;2,0067;2,0067;2,0067
COLISSIMO;IDFN-LTH-004-CM;CSPN;182,15;CNR GNV M-1;9,83%;Variation TK;4,1350;;4,0888;4,0847;4,1250;3,7285;3,7285;3,7285;3,7285;3,7285;3,7285;3,7285;3,7285;3,7285
COLISSIMO;IDFN-LTH-007-CM;CSPN;182,15;CNR GNV M-1;16,90%;Variation TK;2,2548;;2,2115;2,2076;2,2454;1,8737;1,8737;1,8737;1,8737;1,8737;1,8737;1,8737;1,8737;1,8737
